district_raw,district_normalized,state_raw,state_normalized
Nicobars,NICOBARS,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS
North & Middle Andaman,NORTH & MIDDLE ANDAMAN,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS
South Andaman,SOUTH ANDAMAN,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS
Anantapur,ANANTAPUR,Andhra Pradesh,ANDHRA PRADESH
Chittoor,CHITTOOR,Andhra Pradesh,ANDHRA PRADESH
East Godavari,EAST GODAVARI,Andhra Pradesh,ANDHRA PRADESH
Guntur,GUNTUR,Andhra Pradesh,ANDHRA PRADESH
Krishna,KRISHNA,Andhra Pradesh,ANDHRA PRADESH
Kurnool,KURNOOL,Andhra Pradesh,ANDHRA PRADESH
Prakasam,PRAKASAM,Andhra Pradesh,ANDHRA PRADESH
Sri Potti Sriramulu Nello,SRI POTTI SRIRAMULU NELLO,Andhra Pradesh,ANDHRA PRADESH
Srikakulam,SRIKAKULAM,Andhra Pradesh,ANDHRA PRADESH
Visakhapatnam,VISAKHAPATNAM,Andhra Pradesh,ANDHRA PRADESH
Vizianagaram,VIZIANAGARAM,Andhra Pradesh,ANDHRA PRADESH
West Godavari,WEST GODAVARI,Andhra Pradesh,ANDHRA PRADESH
Y.S.R.,Y.S.R.,Andhra Pradesh,ANDHRA PRADESH
Anjaw,ANJAW,Arunachal Pradesh,ARUNACHAL PRADESH
Changlang,CHANGLANG,Arunachal Pradesh,ARUNACHAL PRADESH
Dibang Valley,DIBANG VALLEY,Arunachal Pradesh,ARUNACHAL PRADESH
East Kameng,EAST KAMENG,Arunachal Pradesh,ARUNACHAL PRADESH
East Siang,EAST SIANG,Arunachal Pradesh,ARUNACHAL PRADESH
Kra Daadi,KRA DAADI,Arunachal Pradesh,ARUNACHAL PRADESH
Kurung Kumey,KURUNG KUMEY,Arunachal Pradesh,ARUNACHAL PRADESH
Lohit,LOHIT,Arunachal Pradesh,ARUNACHAL PRADESH
Longding,LONGDING,Arunachal Pradesh,ARUNACHAL PRADESH
Lower Dibang Valley,LOWER DIBANG VALLEY,Arunachal Pradesh,ARUNACHAL PRADESH
Lower Subansiri,LOWER SUBANSIRI,Arunachal Pradesh,ARUNACHAL PRADESH
Namsai,NAMSAI,Arunachal Pradesh,ARUNACHAL PRADESH
Papum Pare,PAPUM PARE,Arunachal Pradesh,ARUNACHAL PRADESH
Siang,SIANG,Arunachal Pradesh,ARUNACHAL PRADESH
Tawang,TAWANG,Arunachal Pradesh,ARUNACHAL PRADESH
Tirap,TIRAP,Arunachal Pradesh,ARUNACHAL PRADESH
Upper Siang,UPPER SIANG,Arunachal Pradesh,ARUNACHAL PRADESH
Upper Subansiri,UPPER SUBANSIRI,Arunachal Pradesh,ARUNACHAL PRADESH
West Kameng,WEST KAMENG,Arunachal Pradesh,ARUNACHAL PRADESH
West Siang,WEST SIANG,Arunachal Pradesh,ARUNACHAL PRADESH
Baksa,BAKSA,Assam,ASSAM
Barpeta,BARPETA,Assam,ASSAM
Biswanath,BISWANATH,Assam,ASSAM
Bongaigaon,BONGAIGAON,Assam,ASSAM
Cachar,CACHAR,Assam,ASSAM
Charaideo,CHARAIDEO,Assam,ASSAM
Chirang,CHIRANG,Assam,ASSAM
Darrang,DARRANG,Assam,ASSAM
Dhemaji,DHEMAJI,Assam,ASSAM
Dhubri,DHUBRI,Assam,ASSAM
Dibrugarh,DIBRUGARH,Assam,ASSAM
Dima Hasao,DIMA HASAO,Assam,ASSAM
Goalpara,GOALPARA,Assam,ASSAM
Golaghat,GOLAGHAT,Assam,ASSAM
Hailakandi,HAILAKANDI,Assam,ASSAM
Hojai,HOJAI,Assam,ASSAM
Jorhat,JORHAT,Assam,ASSAM
