source_row_number,unique_id,name,scoring_eligible,intake_issue_codes,facilityTypeId,facility_type_normalized,facility_type_normalization_action,operatorTypeId,operator_type_normalized,operator_type_normalization_action,address_zipOrPostcode,pincode_normalized,pincode_reference_status,pincode_join_confidence
10,d9bc3999-4523-4969-aac0-abd6bc415f2e,Sumitra Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,201 301,,,invalid_pincode
30,34aea2cc-26a4-4edb-a623-80e372ae0ae7,MGM Healthcare,True,,hospital,hospital,unchanged,private,private,unchanged,600029,600029,,unresolved
31,39b355c6-648e-4a9b-849a-e82467708616,"NH Narayana Superspeciality Hospital, Shalimar",True,,hospital,hospital,unchanged,private,private,unchanged,711 102,,,invalid_pincode
41,49e0f69c-96c3-448a-af00-81dc0229035f,Sri Ramakrishna Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,641 044,,,invalid_pincode
45,513d7280-b39e-45a9-b5c6-fc61ae0f7538,St. John's Hospital,True,,hospital,hospital,unchanged,public,public,unchanged,560 034,,,invalid_pincode
50,675aec61-780e-4cb1-a1db-adaa50defee4,Sugam Hospitals,True,,hospital,hospital,unchanged,private,private,unchanged,600019,600019,district_mode_selected,ambiguous_reference_mapping
63,83361eb2-2897-4850-a437-44957e13c21b,Isha Multispeciality Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,388 325,,,invalid_pincode
68,9a7c8cd7-5c16-427e-8e14-2a5c4efa1231,Ganga Hospital,True,,hospital,hospital,unchanged,private,private,unchanged,641 022,,,invalid_pincode
74,b49d6498-7c51-4544-9328-5e68807aee14,Belle Vue Clinic,True,,clinic,clinic,unchanged,private,private,unchanged,700 064,,,invalid_pincode
92,f4a30fa3-2f7c-4ac3-82af-57ae3f0cbcb6,"Ganga Hospital, Coimbatore",True,,hospital,hospital,unchanged,private,private,unchanged,641 030,,,invalid_pincode
108,08344cdb-f455-4c22-8d31-a0a8e849124b,MOSC Medical College Hospital,True,duplicate_unique_id,hospital,hospital,unchanged,private,private,unchanged,682311,682311,exact,exact_reference_mapping
109,08344cdb-f455-4c22-8d31-a0a8e849124b,MOSC Medical College Hospital,False,duplicate_unique_id,hospital,hospital,unchanged,private,private,unchanged,682311,682311,exact,exact_reference_mapping
