queue_rank,unique_id,name,facility_type,operator_type,address_city,address_state,pincode,district_reference,pincode_join_confidence,readiness_score,completeness_score,evidence_support_score,consistency_score,high_leverage_score,review_priority_score,flag_count,high_severity_flag_count,primary_issue,review_status,evidence_validation_status
1,29b6dbe0-f471-4650-a488-10906b6ac873,Fortis Hospital Anandapur,hospital,private,Kolkata,West Bengal,700027,KOLKATA,exact_reference_mapping,71.01,100.0,68.37,35.0,94.07,45.26,6,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
2,91fdc31a-8236-40d4-abd4-e208f8b0657a,Jss Hospital,hospital,private,Mysuru,Karnataka,570004,MYSURU,exact_reference_mapping,72.61,100.0,58.7,50.0,96.11,44.57,9,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
3,feac6fe2-dc57-4798-b03d-473761c03640,Meenakshi Mission Hospital & Research Centre,hospital,private,Madurai,Tamil Nadu,625107,MADURAI,exact_reference_mapping,72.97,100.0,59.89,50.0,95.62,44.18,9,2,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
4,61c0dd8a-2353-48f5-b1b2-50d87bbf2d20,"Medical College and Hospital, Kolkata",hospital,public,Kolkata,West Bengal,700014,KOLKATA,exact_reference_mapping,72.59,100.0,58.62,50.0,94.41,44.16,5,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
5,b9386c11-f799-4fd3-9f1e-54f26b2e7b6b,"Government ESI Medical College, Coimbatore",hospital,public,Coimbatore,Tamil Nadu,641035,COIMBATORE,exact_reference_mapping,73.26,100.0,60.88,50.0,95.17,43.85,8,2,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
6,f221e6d3-436f-4a0b-8f8f-fbd519b2209f,"Sri Shankara Cancer Hospital and Research Centre, Bengaluru",hospital,private,Bengaluru,Karnataka,,,invalid_pincode,71.26,95.0,50.86,60.0,87.05,43.32,8,1,missing_or_invalid_pincode,unreviewed,claim_level_source_alignment_unverified
7,a1175a29-0c8e-494d-95c7-80beb235afc3,Niloufer Hospital,hospital,public,Hyderabad,Telangana,500004,HYDERABAD,exact_reference_mapping,69.31,100.0,47.71,50.0,80.0,43.02,10,3,uncorroborated_critical_care_claim,unreviewed,claim_level_source_alignment_unverified
8,0ee2ea22-f606-4d4a-8117-b9964805730c,Burdwan Medical College Burdwan,hospital,public,Burdwan,West Bengal,713104,PURBA BARDHAMAN,exact_reference_mapping,74.06,100.0,53.53,60.0,92.97,42.7,5,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
9,e0d7ddd5-5fad-42c0-b5ef-9d86e181f258,Accord Superspeciality Hospital,hospital,private,Faridabad,Haryana,121002,FARIDABAD,exact_reference_mapping,74.13,100.0,63.78,50.0,92.92,42.63,8,1,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
10,e667b954-ba77-4af8-8388-6aebb067401c,ESI Hospitals,hospital,public,Nagar,Haryana,321205,BHARATPUR,exact_reference_mapping,70.64,100.0,57.12,45.0,81.91,42.5,5,2,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
11,fa445a1d-ff1a-40b5-95b4-7351e0cb7852,"Dr DY Patil Medical College and Hospital, Pune, India",hospital,private,Pune,Maharashtra,411018,PUNE,exact_reference_mapping,76.38,100.0,61.25,60.0,98.67,42.38,5,1,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
12,12fe95f9-0e07-4fbf-8320-8bbfb9d20315,"GANDHI EYE HOSPITAL, ALIGARH",hospital,private,Aligarh,Uttar Pradesh,202001,ALIGARH,exact_reference_mapping,72.45,100.0,58.18,50.0,86.72,42.34,5,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
13,7b71adc1-9169-499c-9eef-161d7460972c,Sahyadri Hospitals,hospital,private,Pune,Maharashtra,411004,PUNE,exact_reference_mapping,76.11,100.0,60.38,60.0,97.34,42.25,4,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
14,6deea35e-ac66-4f30-83e2-6288751cafda,Yashoda Hospitals - Secunderabad,hospital,private,Secunderabad,Telangana,500003,HYDERABAD,exact_reference_mapping,76.02,95.0,61.73,65.0,96.17,42.03,6,2,uncorroborated_neonatal_claim,unreviewed,claim_level_source_alignment_unverified
15,e0fcd8ad-b818-4cef-975d-afdfd2e6d413,"Government Medical College, Thiruvananthapuram",hospital,public,Thiruvananthapuram,Kerala,695009,THIRUVANANTHAPURAM,exact_reference_mapping,77.08,100.0,63.59,60.0,98.19,41.74,8,0,empty_claim_entry,unreviewed,claim_level_source_alignment_unverified
16,ba37fc5d-ab00-4b0c-987a-dfa6550bd9e8,"Government Maternity Hospital, Tirupati",hospital,public,Tirupati,Andhra Pradesh,517507,,ambiguous_reference_mapping,68.72,100.0,60.74,35.0,71.68,41.38,7,2,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
17,2e4137a3-6a58-434a-a2eb-67dfd31bdff0,Ravi Hospital,hospital,private,Ongole,Andhra Pradesh,500085,MEDCHAL MALKAJGIRI,exact_reference_mapping,62.52,88.0,46.07,45.0,52.96,41.35,10,4,missing_or_invalid_capacity,unreviewed,claim_level_source_alignment_unverified
18,d29c85e9-2a08-40ab-9231-5cebf160cd5d,"The Calcutta Medical Research Institute, Kolkata",hospital,private,Kolkata,West Bengal,700027,KOLKATA,exact_reference_mapping,76.2,100.0,60.67,60.0,93.4,41.2,4,1,uncorroborated_emergency_trauma_claim,unreviewed,claim_level_source_alignment_unverified
19,d4066f5a-ad1f-48b9-92cf-6b32431939a8,Dr Ram Manohar Lohia Institute of Medical Sciences,hospital,public,Lucknow,Uttar Pradesh,226010,LUCKNOW,exact_reference_mapping,74.88,100.0,66.27,50.0,88.46,40.96,7,1,placeholder_or_negative_claim,unreviewed,claim_level_source_alignment_unverified
