source_row_number,unique_id,name,organization_type,structurally_valid,exact_duplicate,scoring_eligible,issue_codes
2,b8a5401f-42f1-422a-8cd9-686a15b4cb76,Aravind Eye Hospital,facility,True,False,True,
3,06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,"Fortis Hospital, Gurugram",facility,True,False,True,
4,29b6dbe0-f471-4650-a488-10906b6ac873,Fortis Hospital Anandapur,facility,True,False,True,
5,3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,Wockhardt Hospital Nagpur,facility,True,False,True,
6,59b6c976-2d44-4705-bcff-a83605983487,"RAM HOSPITAL & RESEARCH CENTRE, KANPUR",facility,True,False,True,
7,77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,HCG Manavata Cancer Centre,facility,True,False,True,
8,88c2565a-8801-4899-9745-6070316eb745,Rajarajeswari Medical College and Hospital,facility,True,False,True,
9,8b4d0b3f-896c-4010-8b7e-b5ebd781fb29,"Medanta The Medicity, Gurgaon, Haryana",facility,True,False,True,
10,d9bc3999-4523-4969-aac0-abd6bc415f2e,Sumitra Hospital,facility,True,False,True,
11,e0fcd8ad-b818-4cef-975d-afdfd2e6d413,"Government Medical College, Thiruvananthapuram",facility,True,False,True,
12,ec1297c6-8d79-4944-bbd2-7e319f7a86f6,"Jupiter Hospital, Thane",facility,True,False,True,
13,f21d47b5-8c40-4c01-9200-fab7ca94f46e,Tata Memorial Hospital,facility,True,False,True,
14,02d77467-9415-4e72-98c5-118761328c89,"HCG Aastha Cancer Centre, Ahmedabad",facility,True,False,True,
15,09571e22-74ba-492d-a6b9-f1a9783af3ab,Civil Hospital,facility,True,False,True,
16,0be8a076-706a-439f-b2cd-6a29d85cb41d,Shraddha Hospital,facility,True,False,True,
17,0ee2ea22-f606-4d4a-8117-b9964805730c,Burdwan Medical College Burdwan,facility,True,False,True,
18,122b19ff-fc09-4fd1-8e41-2f5fe28a27db,All India Institute of Medical Sciences Patna,facility,True,False,True,
19,137fed76-fec1-4973-9b8c-7d2795862240,"NKP Salve Institute of Medical Sciences and Research Centre, Nagpur",facility,True,False,True,
20,1a62801f-4ddb-43e0-81cc-182cb1311171,King Edward Memorial Hospital,facility,True,False,True,
21,1de1dfc6-9c67-4df3-9a92-4ee1111f4895,Motherhood Hospital,facility,True,False,True,
22,1df3d3c4-c4d3-446d-a687-9d5841a57d84,Fortis Hospital at Ludhiana - Punjab,facility,True,False,True,
23,229a9ce3-67a2-417c-a610-c02b5d869438,"Government Medical College, Thoothukudi",facility,True,False,True,
24,279fa2c2-e4ef-4a9a-9285-888887133057,Chawla Nursing Home,facility,True,False,True,
25,293fab7f-bc5a-4981-8e01-3706543218cc,Sir H. N. Reliance Foundation Hospital,facility,True,False,True,
26,30ed41d1-ce7e-4936-9569-cb59d2990443,Patna Medical College & Hospital,facility,True,False,True,
27,31e8a095-2ba7-4ad2-8df1-44c6b2b26c5e,Ayush Hospital,facility,True,False,True,
28,33af2594-ec2f-4268-a1a6-9cb47b04d798,Amrita Hospital,facility,True,False,True,
29,33f3fa89-8e8d-460e-a147-47fabb4d8902,Amrita Institute of Medical Sciences and Research Centre,facility,True,False,True,
30,34aea2cc-26a4-4edb-a623-80e372ae0ae7,MGM Healthcare,facility,True,False,True,
31,39b355c6-648e-4a9b-849a-e82467708616,"NH Narayana Superspeciality Hospital, Shalimar",facility,True,False,True,
32,39c6f2b8-806a-499c-9fac-a918e52cd191,Kasturba Hospital,facility,True,False,True,
33,3d88594f-a099-4ff9-8188-fac914764015,Guru Nanak Dev Hospital,facility,True,False,True,
34,3d9d4079-9a80-4546-b244-03b1e7ca9f95,"Raj Eye Hospital, Gorakhpur",facility,True,False,True,
35,3ef783e8-3f3d-416a-bf7b-4bd9781e9286,Kovai Medical Centre and Hospital Coimbatore,facility,True,False,True,
36,427cf36b-ab8f-4d71-bd39-a30623946638,Attar Sain Jain Hospital,facility,True,False,True,
37,436c7e0a-fd63-4414-9a28-c39ff09d4775,"Lilavati Hospital and Research Centre, Mumbai, India",facility,True,False,True,
38,4616c935-ae1b-4d40-ae5a-3d6c31a90206,Government Medical College And Hospital Chandrapur,facility,True,False,True,
39,46cc0e3b-f699-4faf-ac99-2f06b014b106,"Max Super-Speciality Hospital, Mohali",facility,True,False,True,
40,478bb7fc-0309-444a-8bfd-452b4c44bf0f,Parul Sevashram Hospital,facility,True,False,True,
41,49e0f69c-96c3-448a-af00-81dc0229035f,Sri Ramakrishna Hospital,facility,True,False,True,
42,4a235f61-c369-4ff8-823d-732585cb9cc1,Arokya Hospital,facility,True,False,True,
43,4f1b6e2b-804d-4883-be04-e5ccd2a3c46b,Okay Diagnostic Center,facility,True,False,True,
44,51179ca4-f342-4014-92d7-c2d2ef1adbb1,Srinivasa Nursing Home,facility,True,False,True,
45,513d7280-b39e-45a9-b5c6-fc61ae0f7538,St. John's Hospital,facility,True,False,True,
46,54302144-0ee3-4a36-8c92-fc647a6cdd8f,Sai Hospital,facility,True,False,True,
47,61c0dd8a-2353-48f5-b1b2-50d87bbf2d20,"Medical College and Hospital, Kolkata",facility,True,False,True,
48,6382feb6-79d9-43e4-92fd-5609c30ef481,"Kokilaben Dhirubhai Ambani Hospital and Research Centre, Mumbai, Maharashtra, India",facility,True,False,True,
49,66812208-efc9-4703-a55e-eab19c58a3b5,All India Institute of Medical Sciences,facility,True,False,True,
50,675aec61-780e-4cb1-a1db-adaa50defee4,Sugam Hospitals,facility,True,False,True,
51,6fbda6ad-99c5-429e-9db4-3811e8311c18,Bangalore Baptist Hospital,facility,True,False,True,
52,704f251b-4db7-44bd-8da1-201a78b4cb17,Goyal Hospital & Research Centre,facility,True,False,True,
53,72d8005b-81e9-4331-ad91-2552ac1aac50,MNR Dental College and Hospital,facility,True,False,True,
54,736416dc-e905-41fe-9556-62d1fe2694db,"Sparsh Super Speciality Hospital (Y), Yeshwantpur",facility,True,False,True,
55,7788feca-a218-4eab-85aa-51476de90e79,"Breach Candy Hospital, Mumbai, India",facility,True,False,True,
56,788a47ec-36ae-43ba-afb0-ae07df9b1579,"Govt. Homoeo Medical College Hospital (Guwahati, Nowgong, Jorhat)",facility,True,False,True,
57,797acc17-b7ca-4461-bb07-86331e4a56f2,Max Super Specialty Hospital - Dehradun,facility,True,False,True,
58,7ab574db-80af-40d5-8b20-2b0a7dfafba1,KEM Hospital Pune,facility,True,False,True,
59,7b664acd-844f-46f3-b1f7-444ae5caf8b1,Asha Hospital,facility,True,False,True,
60,7dbdbeca-0f56-467b-a822-77c30af1fff1,Suyash Hospital,facility,True,False,True,
61,8047a7a4-85b5-43cb-ba06-4f0fd8b8d778,Peerless Hospitex Hospital,facility,True,False,True,
62,80cad090-de93-423d-bcfa-8665ac1ac2a0,Park Hospital,facility,True,False,True,
63,83361eb2-2897-4850-a437-44957e13c21b,Isha Multispeciality Hospital,facility,True,False,True,
64,8a689d8e-1b7d-4fe4-8ccf-9f040bdae319,Bansal Hospital,facility,True,False,True,
65,8b1f6969-a3ce-492a-b855-2c04199f2e5c,Fatima Hospital,facility,True,False,True,
66,8df9ef6c-9ee6-41e9-a7c0-b52f45290f06,"Krishna Institute of Medical Sciences, Hyderabad",facility,True,False,True,
67,8e687a2c-4a9f-4fb8-a5f9-2cb78043c1fa,Welcare Hospital,facility,True,False,True,
68,9a7c8cd7-5c16-427e-8e14-2a5c4efa1231,Ganga Hospital,facility,True,False,True,
69,9e6e1baf-e632-4b83-97cf-fad2300aa110,"Ujala Cygnus Brightstar Hospital, Moradabad",facility,True,False,True,
70,a4e3e6fd-88bb-48dc-a923-2a9b00221ea3,Shreeji Women's Hospital,facility,True,False,True,
71,a9077716-04f1-44c5-9ad7-801c68d74978,Medical College Kottayam,facility,True,False,True,
72,aa07dc77-d6d2-4be0-94cb-078724248add,Alchemist Hospital,facility,True,False,True,
73,aee4f51b-2464-483e-90f0-a9417f4b296c,"District Hospital, Kanhangad, India",facility,True,False,True,
74,b49d6498-7c51-4544-9328-5e68807aee14,Belle Vue Clinic,facility,True,False,True,
75,b54da8f5-590a-4f00-8b3c-e15a79be6faf,Samar Hospital,facility,True,False,True,
76,b94c3b56-febe-41cc-9219-3ba755fe2d4c,Sadar Hospital,facility,True,False,True,
77,c1897c75-95fe-4983-92b0-a81efe22686a,Joshi Hospital,facility,True,False,True,
78,c63d560f-2d07-44fd-96c0-a61cb41dffdd,"S.N.M. District Hospital & Tuberculosis Sanatorium, Firozabad",facility,True,False,True,
79,c710d0a6-a688-4613-a8a5-3bc155f9ceb8,Cloudnine Golf Course Road - Gurgaon,facility,True,False,True,
80,c74e2bde-3035-4d4d-a82d-2c5ccc0a350e,Apollo Hospital Cbd Belapur,facility,True,False,True,
81,ce78597f-1dd1-46c3-b636-caa302b59f0b,Holy Spirit Hospital Andheri,facility,True,False,True,
82,d2726883-b75f-4292-93ad-7b88fc74e311,Indira Gandhi Institute of Medical Sciences,facility,True,False,True,
83,d5b31e2d-701b-4da2-baca-408742204772,"Sunshine Global Hospital, Surat, Gujarat",facility,True,False,True,
84,d943ddb0-1cb3-4361-af96-9207da9cb6d1,Rabindranath Tagore International Institute Of Cardiac Sciences,facility,True,False,True,
85,dd1f9efd-01bb-4250-8c90-8bbd1b3cada2,Vijaya Hospital,facility,True,False,True,
86,e27fe48f-5ca8-4fae-a5bf-d70058262e21,Big Apollo Spectra Hospitals,facility,True,False,True,
87,e3db1d5d-d94f-4e2e-a86e-39810ef3b6b5,National Instt of Ophthalmology,facility,True,False,True,
88,e668390c-1439-4108-8586-bc822bea3147,Government General Hospital,facility,True,False,True,
89,eb2ec20b-04b5-49f5-9530-65eded2e8685,Ruby General Hospital,facility,True,False,True,
90,ef62f496-4aca-4659-a46b-093f12c31f92,Sai Shradha Multispeciality Hospital,facility,True,False,True,
