nfhs_state_raw,nfhs_district_raw,state_normalized,district_normalized,exact_match,candidate_1,candidate_2,candidate_3,review_status
Andaman & Nicobar Islands,Nicobars,ANDAMAN & NICOBAR ISLANDS,NICOBARS,False,,,,requires_review
Andaman & Nicobar Islands,North & Middle Andaman,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,False,,,,requires_review
Andaman & Nicobar Islands,South Andaman,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,False,,,,requires_review
Andhra Pradesh,Anantapur,ANDHRA PRADESH,ANANTAPUR,True,,,,accepted_exact
Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,True,,,,accepted_exact
Andhra Pradesh,East Godavari,ANDHRA PRADESH,EAST GODAVARI,True,,,,accepted_exact
Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,True,,,,accepted_exact
Andhra Pradesh,Krishna,ANDHRA PRADESH,KRISHNA,True,,,,accepted_exact
Andhra Pradesh,Kurnool,ANDHRA PRADESH,KURNOOL,True,,,,accepted_exact
Andhra Pradesh,Prakasam,ANDHRA PRADESH,PRAKASAM,True,,,,accepted_exact
Andhra Pradesh,Sri Potti Sriramulu Nello,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLO,False,,,,requires_review
Andhra Pradesh,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,True,,,,accepted_exact
Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,False,VISAKHAPATANAM,KRISHNA,BAPATLA,requires_review
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,True,,,,accepted_exact
Andhra Pradesh,West Godavari,ANDHRA PRADESH,WEST GODAVARI,True,,,,accepted_exact
Andhra Pradesh,Y.S.R.,ANDHRA PRADESH,Y.S.R.,True,,,,accepted_exact
Arunachal Pradesh,Anjaw,ARUNACHAL PRADESH,ANJAW,True,,,,accepted_exact
Arunachal Pradesh,Changlang,ARUNACHAL PRADESH,CHANGLANG,True,,,,accepted_exact
Arunachal Pradesh,Dibang Valley,ARUNACHAL PRADESH,DIBANG VALLEY,True,,,,accepted_exact
Arunachal Pradesh,East Kameng,ARUNACHAL PRADESH,EAST KAMENG,True,,,,accepted_exact
Arunachal Pradesh,East Siang,ARUNACHAL PRADESH,EAST SIANG,True,,,,accepted_exact
Arunachal Pradesh,Kra Daadi,ARUNACHAL PRADESH,KRA DAADI,True,,,,accepted_exact
Arunachal Pradesh,Kurung Kumey,ARUNACHAL PRADESH,KURUNG KUMEY,True,,,,accepted_exact
Arunachal Pradesh,Lohit,ARUNACHAL PRADESH,LOHIT,True,,,,accepted_exact
Arunachal Pradesh,Longding,ARUNACHAL PRADESH,LONGDING,True,,,,accepted_exact
Arunachal Pradesh,Lower Dibang Valley,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,True,,,,accepted_exact
Arunachal Pradesh,Lower Subansiri,ARUNACHAL PRADESH,LOWER SUBANSIRI,True,,,,accepted_exact
Arunachal Pradesh,Namsai,ARUNACHAL PRADESH,NAMSAI,True,,,,accepted_exact
Arunachal Pradesh,Papum Pare,ARUNACHAL PRADESH,PAPUM PARE,True,,,,accepted_exact
Arunachal Pradesh,Siang,ARUNACHAL PRADESH,SIANG,True,,,,accepted_exact
Arunachal Pradesh,Tawang,ARUNACHAL PRADESH,TAWANG,True,,,,accepted_exact
Arunachal Pradesh,Tirap,ARUNACHAL PRADESH,TIRAP,True,,,,accepted_exact
Arunachal Pradesh,Upper Siang,ARUNACHAL PRADESH,UPPER SIANG,True,,,,accepted_exact
Arunachal Pradesh,Upper Subansiri,ARUNACHAL PRADESH,UPPER SUBANSIRI,True,,,,accepted_exact
Arunachal Pradesh,West Kameng,ARUNACHAL PRADESH,WEST KAMENG,True,,,,accepted_exact
Arunachal Pradesh,West Siang,ARUNACHAL PRADESH,WEST SIANG,True,,,,accepted_exact
Assam,Baksa,ASSAM,BAKSA,True,,,,accepted_exact
Assam,Barpeta,ASSAM,BARPETA,True,,,,accepted_exact
Assam,Biswanath,ASSAM,BISWANATH,True,,,,accepted_exact
Assam,Bongaigaon,ASSAM,BONGAIGAON,True,,,,accepted_exact
Assam,Cachar,ASSAM,CACHAR,True,,,,accepted_exact
Assam,Charaideo,ASSAM,CHARAIDEO,True,,,,accepted_exact
Assam,Chirang,ASSAM,CHIRANG,True,,,,accepted_exact
Assam,Darrang,ASSAM,DARRANG,True,,,,accepted_exact
Assam,Dhemaji,ASSAM,DHEMAJI,True,,,,accepted_exact
Assam,Dhubri,ASSAM,DHUBRI,True,,,,accepted_exact
Assam,Dibrugarh,ASSAM,DIBRUGARH,True,,,,accepted_exact
Assam,Dima Hasao,ASSAM,DIMA HASAO,True,,,,accepted_exact
Assam,Goalpara,ASSAM,GOALPARA,True,,,,accepted_exact
Assam,Golaghat,ASSAM,GOLAGHAT,True,,,,accepted_exact
Assam,Hailakandi,ASSAM,HAILAKANDI,True,,,,accepted_exact
Assam,Hojai,ASSAM,HOJAI,True,,,,accepted_exact
Assam,Jorhat,ASSAM,JORHAT,True,,,,accepted_exact
Assam,Kamrup,ASSAM,KAMRUP,True,,,,accepted_exact
Assam,Kamrup Metropolitan,ASSAM,KAMRUP METROPOLITAN,False,KAMRUP METRO,KAMRUP,BARPETA,requires_review
Assam,Karbi Anglong,ASSAM,KARBI ANGLONG,True,,,,accepted_exact
Assam,Karimganj,ASSAM,KARIMGANJ,True,,,,accepted_exact
Assam,Kokrajhar,ASSAM,KOKRAJHAR,True,,,,accepted_exact
Assam,Lakhimpur,ASSAM,LAKHIMPUR,True,,,,accepted_exact
Assam,Majuli,ASSAM,MAJULI,True,,,,accepted_exact
Assam,Morigaon,ASSAM,MORIGAON,False,MARIGAON,BONGAIGAON,KARIMGANJ,requires_review
Assam,Nagaon,ASSAM,NAGAON,True,,,,accepted_exact
Assam,Nalbari,ASSAM,NALBARI,True,,,,accepted_exact
Assam,Sivasagar,ASSAM,SIVASAGAR,True,,,,accepted_exact
Assam,Sonitpur,ASSAM,SONITPUR,True,,,,accepted_exact
Assam,South Salmara Mancachar,ASSAM,SOUTH SALMARA MANCACHAR,True,,,,accepted_exact
Assam,Tinsukia,ASSAM,TINSUKIA,True,,,,accepted_exact
Assam,Udalguri,ASSAM,UDALGURI,True,,,,accepted_exact
Assam,West Karbi Anglong,ASSAM,WEST KARBI ANGLONG,True,,,,accepted_exact
Bihar,Araria,BIHAR,ARARIA,True,,,,accepted_exact
Bihar,Arwal,BIHAR,ARWAL,True,,,,accepted_exact
Bihar,Aurangabad,BIHAR,AURANGABAD,True,,,,accepted_exact
Bihar,Banka,BIHAR,BANKA,True,,,,accepted_exact
Bihar,Begusarai,BIHAR,BEGUSARAI,True,,,,accepted_exact
Bihar,Bhagalpur,BIHAR,BHAGALPUR,True,,,,accepted_exact
Bihar,Bhojpur,BIHAR,BHOJPUR,True,,,,accepted_exact
Bihar,Buxar,BIHAR,BUXAR,True,,,,accepted_exact
Bihar,Darbhanga,BIHAR,DARBHANGA,True,,,,accepted_exact
Bihar,Gaya,BIHAR,GAYA,True,,,,accepted_exact
Bihar,Gopalganj,BIHAR,GOPALGANJ,True,,,,accepted_exact
Bihar,Jamui,BIHAR,JAMUI,True,,,,accepted_exact
Bihar,Jehanabad,BIHAR,JEHANABAD,True,,,,accepted_exact
Bihar,Kaimur (Bhabua),BIHAR,KAIMUR (BHABUA),True,,,,accepted_exact
Bihar,Katihar,BIHAR,KATIHAR,True,,,,accepted_exact
Bihar,Khagaria,BIHAR,KHAGARIA,True,,,,accepted_exact
Bihar,Kishanganj,BIHAR,KISHANGANJ,True,,,,accepted_exact
Bihar,Lakhisarai,BIHAR,LAKHISARAI,True,,,,accepted_exact
Bihar,Madhepura,BIHAR,MADHEPURA,True,,,,accepted_exact
Bihar,Madhubani,BIHAR,MADHUBANI,True,,,,accepted_exact
Bihar,Munger,BIHAR,MUNGER,True,,,,accepted_exact
Bihar,Muzaffarpur,BIHAR,MUZAFFARPUR,True,,,,accepted_exact
Bihar,Nalanda,BIHAR,NALANDA,True,,,,accepted_exact
Bihar,Nawada,BIHAR,NAWADA,True,,,,accepted_exact
Bihar,Pashchim Champaran,BIHAR,PASHCHIM CHAMPARAN,True,,,,accepted_exact
Bihar,Patna,BIHAR,PATNA,True,,,,accepted_exact
Bihar,Purba Champaran,BIHAR,PURBA CHAMPARAN,False,PURBI CHAMPARAN,PASHCHIM CHAMPARAN,SAHARSA,requires_review
Bihar,Purnia,BIHAR,PURNIA,True,,,,accepted_exact
Bihar,Rohtas,BIHAR,ROHTAS,True,,,,accepted_exact
Bihar,Saharsa,BIHAR,SAHARSA,True,,,,accepted_exact
Bihar,Samastipur,BIHAR,SAMASTIPUR,True,,,,accepted_exact
Bihar,Saran,BIHAR,SARAN,True,,,,accepted_exact
Bihar,Sheikhpura,BIHAR,SHEIKHPURA,True,,,,accepted_exact
Bihar,Sheohar,BIHAR,SHEOHAR,True,,,,accepted_exact
Bihar,Sitamarhi,BIHAR,SITAMARHI,True,,,,accepted_exact
Bihar,Siwan,BIHAR,SIWAN,True,,,,accepted_exact
Bihar,Supaul,BIHAR,SUPAUL,True,,,,accepted_exact
Bihar,Vaishali,BIHAR,VAISHALI,True,,,,accepted_exact
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,True,,,,accepted_exact
Chhattisgarh,Balod,CHHATTISGARH,BALOD,True,,,,accepted_exact
Chhattisgarh,Baloda Bazar,CHHATTISGARH,BALODA BAZAR,True,,,,accepted_exact
Chhattisgarh,Balrampur,CHHATTISGARH,BALRAMPUR,True,,,,accepted_exact
Chhattisgarh,Bastar,CHHATTISGARH,BASTAR,True,,,,accepted_exact
Chhattisgarh,Bemetara,CHHATTISGARH,BEMETARA,True,,,,accepted_exact
Chhattisgarh,Bijapur,CHHATTISGARH,BIJAPUR,True,,,,accepted_exact
Chhattisgarh,Bilaspur,CHHATTISGARH,BILASPUR,True,,,,accepted_exact
Chhattisgarh,Dantewada,CHHATTISGARH,DANTEWADA,True,,,,accepted_exact
Chhattisgarh,Dhamtari,CHHATTISGARH,DHAMTARI,True,,,,accepted_exact
Chhattisgarh,Durg,CHHATTISGARH,DURG,True,,,,accepted_exact
Chhattisgarh,Gariyaband,CHHATTISGARH,GARIYABAND,True,,,,accepted_exact
Chhattisgarh,Janjgir - Champa,CHHATTISGARH,JANJGIR - CHAMPA,False,JANJGIR-CHAMPA,KABIRDHAM,,requires_review
Chhattisgarh,Jashpur,CHHATTISGARH,JASHPUR,True,,,,accepted_exact
Chhattisgarh,Kabeerdham,CHHATTISGARH,KABEERDHAM,False,KABIRDHAM,KANKER,,requires_review
Chhattisgarh,Kodagaon,CHHATTISGARH,KODAGAON,False,KONDAGAON,RAJNANDGAON,KOREA,requires_review
Chhattisgarh,Korba,CHHATTISGARH,KORBA,True,,,,accepted_exact
Chhattisgarh,Koriya,CHHATTISGARH,KORIYA,False,KOREA,KORBA,GARIYABAND,requires_review
Chhattisgarh,Mahasamund,CHHATTISGARH,MAHASAMUND,True,,,,accepted_exact
Chhattisgarh,Mungeli,CHHATTISGARH,MUNGELI,True,,,,accepted_exact
Chhattisgarh,Narayanpur,CHHATTISGARH,NARAYANPUR,True,,,,accepted_exact
Chhattisgarh,Raigarh,CHHATTISGARH,RAIGARH,True,,,,accepted_exact
Chhattisgarh,Raipur,CHHATTISGARH,RAIPUR,True,,,,accepted_exact
Chhattisgarh,Rajnandgaon,CHHATTISGARH,RAJNANDGAON,True,,,,accepted_exact
Chhattisgarh,Sukma,CHHATTISGARH,SUKMA,True,,,,accepted_exact
Chhattisgarh,Surajpur,CHHATTISGARH,SURAJPUR,True,,,,accepted_exact
Chhattisgarh,Surguja,CHHATTISGARH,SURGUJA,True,,,,accepted_exact
Chhattisgarh,Uttar Bastar Kanker,CHHATTISGARH,UTTAR BASTAR KANKER,False,KANKER,BASTAR,,requires_review
Dadra and Nagar Haveli & Daman and Diu,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI & DAMAN AND DIU,DADRA & NAGAR HAVELI,False,,,,requires_review
Dadra and Nagar Haveli & Daman and Diu,Daman,DADRA AND NAGAR HAVELI & DAMAN AND DIU,DAMAN,False,,,,requires_review
