pincode,post_office_count,unique_district_count,unique_state_count,district_candidates,state_candidates,office_type_candidates,delivery_candidates,valid_coordinate_pair_count,invalid_coordinate_pair_count,incomplete_coordinate_pair_count,mean_valid_latitude,mean_valid_longitude,ambiguous_district,ambiguous_state
533464,13,4,2,EAST GODAVARI|KAKINADA|KONASEEMA|YANAM,ANDHRA PRADESH|PUDUCHERRY,BO|PO,Delivery,12,0,1,16.785316,82.145367,True,True
505325,17,3,2,BAPATLA|JAGITIAL|NIZAMABAD,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery|Non Delivery,16,0,1,18.805907,78.622376,True,True
605106,10,3,2,CUDDALORE|PONDICHERRY|VILLUPURAM,PUDUCHERRY|TAMIL NADU,BO|PO,Delivery,10,0,0,11.860722,79.652521,True,True
110025,5,3,2,BUDAUN|SOUTH|SOUTH EAST,DELHI|UTTAR PRADESH,PO,Delivery|Non Delivery,5,0,0,28.557828,77.279617,True,True
396230,25,2,2,DADRA AND NAGAR HAVELI|VALSAD,GUJARAT|THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,BO|PO,Delivery,25,0,0,20.185603,73.066487,True,True
505187,19,2,2,PARVATHIPURAM MANYAM|PEDDAPALLI,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,18,1,0,18.706325,79.355328,True,True
531149,18,2,2,MEDAK|VISAKHAPATANAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,17,0,1,18.260622,82.909665,True,True
244924,15,2,2,RAMPUR|UDAM SINGH NAGAR,UTTAR PRADESH|UTTARAKHAND,BO|PO,Delivery,15,0,0,28.652554,79.126913,True,True
335526,15,2,2,HANUMANGARH|MULUGU,RAJASTHAN|TELANGANA,BO|PO,Delivery,1,0,14,29.556417,74.504028,True,True
509324,15,2,2,NAGARKURNOOL|VIZIANAGARAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,2,0,13,17.418717,80.871718,True,True
503230,14,2,2,NIZAMABAD|VIZIANAGARAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,13,1,0,18.58169,78.232555,True,True
505525,14,2,2,PARVATHIPURAM MANYAM|PEDDAPALLI,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,13,1,0,18.585462,79.256031,True,True
605501,14,2,2,PONDICHERRY|VILLUPURAM,PUDUCHERRY|TAMIL NADU,BO|PO,Delivery,14,0,0,11.983635,79.633159,True,True
247662,13,2,2,HARIDWAR|SAHARANPUR,UTTAR PRADESH|UTTARAKHAND,BO|PO,Delivery,13,0,0,30.074126,77.814425,True,True
343027,13,2,2,JALORE|MULUGU,RAJASTHAN|TELANGANA,BO|PO,Delivery,13,0,0,24.827741,71.578403,True,True
504214,13,2,2,BAPATLA|MANCHERIAL,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,12,0,1,18.754162,79.827087,True,True
503235,12,2,2,NIZAMABAD|PARVATHIPURAM MANYAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery|Non Delivery,11,1,0,18.754575,77.931156,True,True
504215,12,2,2,MANCHERIAL|PRAKASAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,12,0,0,18.682251,79.164742,True,True
311601,11,2,2,BHILWARA|MULUGU,RAJASTHAN|TELANGANA,BO|PO,Delivery,11,0,0,25.266804,74.994817,True,True
335513,11,2,2,HANUMANGARH|MULUGU,RAJASTHAN|TELANGANA,BO|PO,Delivery|Non Delivery,11,0,0,29.619603,74.414791,True,True
506003,11,2,2,BAPATLA|HANUMAKONDA,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery|Non Delivery,11,0,0,17.746688,79.552282,True,True
509132,11,2,2,JOGULAMBA GADWAL|KRISHNA,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,11,0,0,16.268389,78.003735,True,True
503145,10,2,2,KAMAREDDY|VIZIANAGARAM,ANDHRA PRADESH|TELANGANA,BO|PO,Delivery,9,1,0,18.40638,78.26651,True,True
332028,9,2,2,MULUGU|SIKAR,RAJASTHAN|TELANGANA,BO|PO,Delivery,9,0,0,27.533864,74.843029,True,True
333022,9,2,2,JHUNJHUNU|MULUGU,RAJASTHAN|TELANGANA,BO|PO,Delivery,9,0,0,27.834615,75.523353,True,True
