circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,coordinate_status
Telangana Circle,Hyderabad Region,Adilabad Division,Kukuda B.O,504299,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Adilabad Division,Kammergaon  B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kasimpalli B.O,506169,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,79.0000000,17.0000000,likely_swapped
Telangana Circle,Hyderabad Region,Hanamkonda Division,Laxmareddipalli B.O,506168,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,35.8968000,61.2536900,out_of_bounds
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garimillapalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698000,58.6359000,out_of_bounds
Telangana Circle,Hyderabad City Region,Medak Division,M.Bhupathipur B.O,502117,BO,Delivery,MEDAK,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad City Region,Medak Division,Anajipur B.O,502278,BO,Delivery,SIDDIPET,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad City Region,Medak Division,Thirumalapur B.O,502278,BO,Delivery,SIDDIPET,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad City Region,Medak Division,Kolgur B.O,502278,BO,Delivery,SIDDIPET,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad City Region,Medak Division,Raiploe B.O,502278,BO,Delivery,SIDDIPET,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad City Region,Medak Division,Ramaram B.O,502278,BO,Delivery,SIDDIPET,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Nalgonda Division,Kurella B.O,508111,BO,Delivery,YADADRI BHUVANAGIRI,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Nalgonda Division,Dacharam B.O,508277,BO,Delivery,YADADRI BHUVANAGIRI,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Nalgonda Division,Kurmedu B.O,508250,BO,Delivery,NALGONDA,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Nalgonda Division,Yalamala Manda B.O,508248,BO,Delivery,NALGONDA,TELANGANA,NA,NA,missing_pair
Telangana Circle,Hyderabad Region,Nalgonda Division,Thuniki Nuthala B.O,508377,BO,Delivery,NALGONDA,TELANGANA,NA,NA,missing_pair
