pincode,post_office_count,unique_district_count,unique_state_count,district_candidates,state_candidates,office_type_candidates,delivery_candidates,valid_coordinate_pair_count,invalid_coordinate_pair_count,incomplete_coordinate_pair_count,mean_valid_latitude,mean_valid_longitude,ambiguous_district,ambiguous_state
110001,23,1,1,NEW DELHI,DELHI,HO|PO,Delivery|Non Delivery,23,0,0,28.605864,77.220205,False,False
110002,9,1,1,CENTRAL,DELHI,HO|PO,Delivery|Non Delivery,9,0,0,28.635941,77.236594,False,False
110003,10,3,1,NEW DELHI|SOUTH|SOUTH EAST,DELHI,HO|PO,Delivery|Non Delivery,10,0,0,28.595196,77.228388,True,False
110004,1,1,1,NEW DELHI,DELHI,PO,Delivery,1,0,0,28.621083,77.196139,False,False
110005,8,1,1,CENTRAL,DELHI,PO,Delivery|Non Delivery,8,0,0,27.822292,77.1645,False,False
110006,8,1,1,NORTH,DELHI,HO|PO,Delivery|Non Delivery,8,0,0,28.655368,77.225498,False,False
110007,9,3,1,CENTRAL|NORTH|NORTH WEST,DELHI,PO,Delivery|Non Delivery,9,0,0,28.67245,77.205401,True,False
110008,5,1,1,WEST,DELHI,PO,Delivery|Non Delivery,5,0,0,28.647642,77.166756,False,False
110009,7,2,1,NORTH|NORTH WEST,DELHI,PO,Delivery|Non Delivery,7,0,0,28.704627,77.198913,True,False
110010,11,1,1,NEW DELHI,DELHI,BO|PO,Delivery|Non Delivery,11,0,0,28.305797,77.131256,False,False
110011,2,1,1,NEW DELHI,DELHI,PO,Delivery|Non Delivery,2,0,0,28.610986,77.213806,False,False
110012,3,1,1,WEST,DELHI,PO,Delivery|Non Delivery,3,0,0,28.636361,77.161333,False,False
110013,2,2,1,SOUTH|SOUTH EAST,DELHI,PO,Delivery|Non Delivery,2,0,0,28.589486,77.246458,True,False
110014,4,2,1,SOUTH|SOUTH EAST,DELHI,BO|PO,Delivery|Non Delivery,4,0,0,28.579201,77.253806,True,False
110015,7,1,1,WEST,DELHI,HO|PO,Delivery|Non Delivery,7,0,0,28.657799,77.131258,False,False
110016,6,1,1,SOUTH,DELHI,PO,Delivery|Non Delivery,6,0,0,28.545229,77.198633,False,False
110017,8,1,1,SOUTH,DELHI,PO,Delivery|Non Delivery,8,0,0,28.531974,77.214617,False,False
110018,13,1,1,WEST,DELHI,BO|PO,Delivery|Non Delivery,12,1,0,28.645743,77.100828,False,False
110019,4,2,1,SOUTH|SOUTH EAST,DELHI,HO|PO,Delivery|Non Delivery,4,0,0,28.539729,77.270389,True,False
110020,5,2,1,SOUTH|SOUTH EAST,DELHI,BO|PO,Delivery|Non Delivery,5,0,0,28.544964,77.271299,True,False
110021,6,1,1,NEW DELHI,DELHI,PO,Delivery|Non Delivery,6,0,0,28.590708,77.167006,False,False
110022,8,1,1,NEW DELHI,DELHI,PO,Delivery|Non Delivery,8,0,0,28.563368,77.173068,False,False
110023,5,1,1,NEW DELHI,DELHI,HO|PO,Delivery|Non Delivery,5,0,0,28.575423,77.204352,False,False
110024,4,2,1,SOUTH|SOUTH EAST,DELHI,PO,Delivery|Non Delivery,4,0,0,28.563847,77.234022,True,False
110025,5,3,2,BUDAUN|SOUTH|SOUTH EAST,DELHI|UTTAR PRADESH,PO,Delivery|Non Delivery,5,0,0,28.557828,77.279617,True,True
110026,4,1,1,WEST,DELHI,PO,Delivery|Non Delivery,4,0,0,28.658086,77.13171,False,False
110027,6,1,1,WEST,DELHI,PO,Delivery|Non Delivery,6,0,0,28.642537,77.116871,False,False
110028,2,1,1,NEW DELHI,DELHI,HO|PO,Delivery|Non Delivery,2,0,0,28.63132,77.136884,False,False
110029,2,1,1,SOUTH,DELHI,PO,Delivery|Non Delivery,2,0,0,28.56567,77.203338,False,False
110030,7,1,1,SOUTH,DELHI,BO|PO,Delivery|Non Delivery,7,0,0,28.51975,77.184563,False,False
110031,6,2,1,EAST|SHAHDARA,DELHI,PO,Delivery|Non Delivery,6,0,0,28.670306,77.275435,True,False
110032,11,1,1,SHAHDARA,DELHI,PO,Delivery|Non Delivery,11,0,0,28.672957,77.299258,False,False
110033,6,1,1,NORTH,DELHI,BO|PO,Delivery|Non Delivery,6,0,0,28.723718,77.171,False,False
110034,7,1,1,NORTH WEST,DELHI,PO,Delivery|Non Delivery,7,0,0,28.695147,77.137484,False,False
110035,6,1,1,NORTH WEST,DELHI,BO|PO,Delivery|Non Delivery,6,0,0,28.682358,77.159757,False,False
110036,9,1,1,NORTH,DELHI,BO|PO,Delivery|Non Delivery,9,0,0,28.798015,77.119784,False,False
110037,5,1,1,NEW DELHI,DELHI,BO|PO,Delivery|Non Delivery,5,0,0,28.549229,77.10816,False,False
110038,2,1,1,NEW DELHI,DELHI,BO|PO,Delivery|Non Delivery,2,0,0,28.519028,77.095804,False,False
