pincode,post_office_count,district_candidate_count,state_candidate_count,district_candidates,state_candidates,preferred_district,preferred_state,resolution_status,is_safe_for_direct_join,valid_coordinate_pair_count,invalid_coordinate_pair_count,incomplete_coordinate_pair_count,likely_swapped_coordinate_count,mean_valid_latitude,mean_valid_longitude
110001,23,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,23,0,0,0,28.605864,77.220205
110002,9,1,1,CENTRAL,DELHI,CENTRAL,DELHI,exact,True,9,0,0,0,28.635941,77.236594
110003,10,3,1,NEW DELHI|SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,10,0,0,0,28.595196,77.228388
110004,1,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,1,0,0,0,28.621083,77.196139
110005,8,1,1,CENTRAL,DELHI,CENTRAL,DELHI,exact,True,8,0,0,0,27.822292,77.1645
110006,8,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,8,0,0,0,28.655368,77.225498
110007,9,3,1,CENTRAL|NORTH|NORTH WEST,DELHI,NORTH,DELHI,district_mode_selected,False,9,0,0,0,28.67245,77.205401
110008,5,1,1,WEST,DELHI,WEST,DELHI,exact,True,5,0,0,0,28.647642,77.166756
110009,7,2,1,NORTH|NORTH WEST,DELHI,NORTH,DELHI,district_mode_selected,False,7,0,0,0,28.704627,77.198913
110010,11,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,11,0,0,0,28.305797,77.131256
110011,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.610986,77.213806
110012,3,1,1,WEST,DELHI,WEST,DELHI,exact,True,3,0,0,0,28.636361,77.161333
110013,2,2,1,SOUTH|SOUTH EAST,DELHI,,DELHI,ambiguous_district,False,2,0,0,0,28.589486,77.246458
110014,4,2,1,SOUTH|SOUTH EAST,DELHI,,DELHI,ambiguous_district,False,4,0,0,0,28.579201,77.253806
110015,7,1,1,WEST,DELHI,WEST,DELHI,exact,True,7,0,0,0,28.657799,77.131258
110016,6,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,6,0,0,0,28.545229,77.198633
110017,8,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,8,0,0,0,28.531974,77.214617
110018,13,1,1,WEST,DELHI,WEST,DELHI,exact,True,12,1,0,0,28.645743,77.100828
110019,4,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,4,0,0,0,28.539729,77.270389
110020,5,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,5,0,0,0,28.544964,77.271299
110021,6,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,6,0,0,0,28.590708,77.167006
110022,8,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,8,0,0,0,28.563368,77.173068
110023,5,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,5,0,0,0,28.575423,77.204352
110024,4,2,1,SOUTH|SOUTH EAST,DELHI,SOUTH EAST,DELHI,district_mode_selected,False,4,0,0,0,28.563847,77.234022
110025,5,3,2,BUDAUN|SOUTH|SOUTH EAST,DELHI|UTTAR PRADESH,SOUTH EAST,DELHI,ambiguous_state,False,5,0,0,0,28.557828,77.279617
110026,4,1,1,WEST,DELHI,WEST,DELHI,exact,True,4,0,0,0,28.658086,77.13171
110027,6,1,1,WEST,DELHI,WEST,DELHI,exact,True,6,0,0,0,28.642537,77.116871
110028,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.63132,77.136884
110029,2,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,2,0,0,0,28.56567,77.203338
110030,7,1,1,SOUTH,DELHI,SOUTH,DELHI,exact,True,7,0,0,0,28.51975,77.184563
110031,6,2,1,EAST|SHAHDARA,DELHI,SHAHDARA,DELHI,district_mode_selected,False,6,0,0,0,28.670306,77.275435
110032,11,1,1,SHAHDARA,DELHI,SHAHDARA,DELHI,exact,True,11,0,0,0,28.672957,77.299258
110033,6,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,6,0,0,0,28.723718,77.171
110034,7,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,7,0,0,0,28.695147,77.137484
110035,6,1,1,NORTH WEST,DELHI,NORTH WEST,DELHI,exact,True,6,0,0,0,28.682358,77.159757
110036,9,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,9,0,0,0,28.798015,77.119784
110037,5,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,5,0,0,0,28.549229,77.10816
110038,2,1,1,NEW DELHI,DELHI,NEW DELHI,DELHI,exact,True,2,0,0,0,28.519028,77.095804
110039,11,2,1,NORTH|NORTH WEST,DELHI,NORTH,DELHI,district_mode_selected,False,11,0,0,0,28.799694,77.038056
110040,9,1,1,NORTH,DELHI,NORTH,DELHI,exact,True,8,0,1,0,28.844718,77.08557
110041,11,1,1,WEST,DELHI,WEST,DELHI,exact,True,11,0,0,0,28.671798,77.031642
110042,7,2,1,NORTH|NORTH WEST,DELHI,NORTH,DELHI,district_mode_selected,False,7,0,0,0,28.741794,77.136698
